iter	Passed	Remaining
285	637	1592
286	638	1587
287	639	1582
288	641	1577
289	642	1572
290	643	1568
291	645	1566
292	647	1561
293	648	1556
294	649	1552
295	650	1547
296	652	1543
297	653	1539
298	655	1536
299	659	1538
300	660	1534
301	662	1532
302	664	1529
303	666	1525
304	667	1521
305	668	1517
306	670	1512
307	671	1509
308	673	1505
309	675	1502
310	676	1498
311	677	1494
312	678	1489
313	679	1485
314	681	1480
315	682	1477
316	683	1473
317	684	1468
318	687	1466
319	688	1463
320	689	1459
321	691	1455
322	692	1451
323	693	1447
324	694	1443
325	696	1440
326	698	1436
327	700	1435
328	702	1432
329	704	1429
330	705	1426
331	706	1422
332	707	1418
333	709	1414
334	710	1410
335	711	1406
336	712	1402
337	714	1398
338	715	1394
339	716	1390
340	717	1386
341	718	1382
342	719	1378
343	720	1374
344	722	1370
345	723	1366
346	724	1362
347	725	1358
348	726	1354
349	727	1351
350	730	1349
351	731	1346
352	732	1342
353	733	1338
354	734	1334
355	735	1330
356	736	1326
357	737	1322
358	738	1318
359	739	1314
360	740	1311
361	742	1308
362	743	1304
363	745	1301
364	746	1298
365	747	1294
366	748	1291
367	749	1287
368	750	1284
369	751	1280
370	752	1276
371	753	1272
372	754	1268
373	756	1265
374	757	1262
375	758	1258
376	759	1254
377	760	1250
378	761	1247
379	762	1243
380	763	1240
381	764	1236
382	765	1233
383	766	1229
384	767	1226
385	768	1222
386	769	1218
387	770	1215
388	772	1212
389	773	1209
390	774	1206
391	775	1203
392	776	1199
393	777	1196
394	778	1192
395	780	1189
396	781	1186
397	782	1183
398	783	1179
399	784	1177
400	785	1174
401	787	1171
402	789	1168
403	790	1165
404	791	1162
405	792	1158
406	792	1155
407	793	1151
408	794	1148
409	795	1145
410	796	1141
411	797	1138
412	799	1135
413	800	1132
414	801	1129
415	802	1126
416	803	1123
417	804	1120
418	805	1117
419	806	1114
420	807	1111
421	808	1107
422	809	1104
423	810	1101
424	811	1098
425	813	1095
426	814	1092
427	815	1090
428	817	1087
429	818	1084
430	819	1081
431	820	1078
432	821	1075
433	822	1072
434	823	1069
435	824	1066
436	825	1063
437	826	1060
438	827	1057
439	828	1054
440	830	1052
441	831	1049
442	832	1046
443	833	1043
444	834	1041
445	835	1038
446	836	1035
447	837	1032
448	838	1029
449	839	1026
450	840	1023
451	842	1020
452	843	1018
453	844	1015
454	845	1012
455	846	1009
456	847	1006
457	848	1004
458	849	1001
459	850	998
460	851	995
461	852	992
462	853	989
463	854	986
464	854	983
465	856	981
466	858	980
467	860	978
468	862	976
469	863	973
470	864	970
471	865	967
472	866	965
473	867	962
474	868	959
475	869	957
476	870	954
477	872	952
478	873	949
479	874	947
480	876	945
481	877	943
482	878	940
483	879	937
484	880	935
485	881	932
486	883	930
487	884	928
488	885	925
489	887	923
490	888	920
491	889	918
492	890	915
493	891	913
494	892	910
495	893	908
496	895	905
497	896	903
498	897	900
499	898	898
500	900	896
501	901	894
502	902	892
503	903	889
504	904	886
505	906	884
506	907	882
507	908	879
508	909	877
509	910	875
510	912	873
511	914	871
512	915	869
513	917	867
514	918	865
515	920	863
516	921	860
517	922	858
518	924	856
519	925	853
520	926	851
521	928	850
522	929	847
523	930	845
524	931	842
525	932	840
526	934	838
527	935	836
528	936	834
529	938	831
530	939	830
531	942	828
532	943	826
533	945	825
534	946	823
535	948	820
536	949	818
537	951	817
538	952	814
539	954	813
540	956	811
541	957	809
542	958	806
543	960	805
544	962	803
545	963	801
546	964	799
547	966	796
548	968	795
549	969	793
550	972	792
551	973	790
552	974	788
553	976	786
554	977	783
555	979	781
556	980	780
557	982	777
558	983	775
559	984	773
560	986	771
561	987	769
562	989	767
563	990	765
564	991	763
565	992	760
566	993	758
567	994	756
568	996	754
569	997	752
570	999	750
571	1000	748
572	1001	746
573	1003	744
574	1004	742
575	1005	740
576	1007	738
577	1008	736
578	1009	734
579	1010	731
580	1011	729
581	1013	727
582	1015	726
583	1016	723
584	1017	721
585	1018	719
586	1019	717
587	1021	715
588	1022	713
589	1023	711
590	1024	709
591	1025	707
592	1027	705
593	1029	703
594	1030	701
595	1031	699
596	1033	697
597	1034	695
598	1035	693
599	1036	691
600	1037	688
601	1038	686
602	1039	684
603	1042	683
604	1045	682
605	1046	680
606	1047	678
607	1048	676
608	1050	674
609	1051	672
610	1052	669
611	1053	667
612	1055	666
613	1056	664
614	1058	662
615	1059	660
616	1060	658
617	1062	656
618	1063	654
619	1065	652
620	1066	651
621	1071	650
622	1073	649
623	1075	648
624	1077	646
625	1079	644
626	1081	643
627	1082	641
628	1084	639
629	1085	637
630	1087	636
631	1089	634
632	1090	632
633	1091	630
634	1092	628
635	1094	626
636	1095	624
637	1098	623
638	1100	621
639	1101	619
640	1102	617
641	1103	615
642	1104	613
643	1105	611
644	1107	609
645	1109	607
646	1115	608
647	1116	606
648	1117	604
649	1118	602
650	1120	600
651	1122	599
652	1124	597
653	1129	597
654	1131	595
655	1132	594
656	1134	592
657	1135	590
658	1136	588
659	1138	586
660	1141	585
661	1145	584
662	1146	582
663	1148	581
664	1149	579
665	1151	577
666	1153	575
667	1155	574
668	1156	572
669	1158	570
670	1160	568
671	1161	566
672	1163	565
673	1166	564
674	1167	562
675	1169	560
676	1172	559
677	1173	557
678	1175	555
679	1177	553
680	1178	551
681	1179	550
682	1180	548
683	1182	546
684	1184	544
685	1186	543
686	1188	541
687	1189	539
688	1190	537
689	1192	535
690	1193	533
691	1194	531
692	1195	529
693	1197	528
694	1199	526
695	1201	524
696	1203	523
697	1205	521
698	1206	519
699	1207	517
700	1208	515
701	1209	513
702	1210	511
703	1211	509
704	1213	507
705	1214	505
706	1215	503
707	1217	501
708	1219	500
709	1220	498
710	1221	496
711	1223	494
712	1224	492
713	1225	490
714	1227	489
715	1229	487
716	1231	485
717	1232	484
718	1234	482
719	1235	480
720	1236	478
721	1236	476
722	1237	474
723	1238	472
724	1239	470
725	1242	469
726	1244	467
727	1246	465
728	1248	464
729	1249	462
730	1251	460
731	1253	458
732	1255	457
733	1256	455
734	1257	453
735	1260	452
736	1261	450
737	1263	448
738	1264	446
739	1265	444
740	1266	442
741	1267	440
742	1268	438
743	1270	437
744	1272	435
745	1273	433
746	1275	431
747	1276	430
748	1277	428
749	1278	426
750	1280	424
751	1281	422
752	1282	420
753	1285	419
754	1287	417
755	1288	415
756	1289	414
757	1291	412
758	1292	410
759	1293	408
760	1294	406
761	1295	404
762	1298	403
763	1299	401
764	1302	399
765	1303	398
766	1304	396
767	1306	394
768	1307	392
769	1308	390
770	1309	388
771	1310	387
772	1312	385
773	1314	383
774	1315	381
775	1316	380
776	1317	378
777	1319	376
778	1320	374
779	1322	372
780	1323	371
781	1324	369
782	1327	368
783	1329	366
784	1331	364
785	1332	362
786	1333	360
787	1335	359
788	1336	357
789	1337	355
790	1338	353
791	1340	352
792	1341	350
793	1344	348
794	1345	347
795	1346	345
796	1347	343
797	1349	341
798	1351	339
799	1352	338
800	1354	336
801	1356	334
802	1358	333
803	1359	331
804	1361	329
805	1362	327
806	1363	326
807	1364	324
808	1366	322
809	1367	320
810	1368	318
811	1370	317
812	1372	315
813	1374	313
814	1375	312
815	1376	310
816	1377	308
817	1379	306
818	1380	305
819	1381	303
820	1382	301
821	1383	299
822	1385	297
823	1387	296
824	1389	294
825	1390	292
826	1391	291
827	1392	289
828	1394	287
829	1396	286
830	1398	284
831	1399	282
832	1401	280
833	1402	279
834	1403	277
835	1404	275
836	1405	273
837	1406	271
838	1407	270
839	1408	268
840	1412	266
841	1414	265
842	1415	263
843	1416	261
844	1417	260
845	1418	258
846	1419	256
847	1420	254
848	1421	252
849	1422	250
850	1423	249
851	1424	247
852	1425	245
853	1426	243
854	1428	242
855	1430	240
856	1431	238
857	1432	237
858	1433	235
859	1433	233
860	1434	231
861	1435	229
862	1436	228
863	1437	226
864	1438	224
865	1440	222
866	1441	221
867	1443	219
868	1444	217
869	1446	216
870	1447	214
871	1448	212
872	1449	210
873	1450	209
874	1451	207
875	1454	205
876	1456	204
877	1458	202
878	1460	200
879	1461	199
880	1462	197
881	1464	195
882	1465	194
883	1466	192
884	1469	190
885	1470	189
886	1473	187
887	1475	186
888	1478	184
889	1479	182
890	1480	181
891	1483	179
892	1485	178
893	1487	176
894	1488	174
895	1489	172
896	1490	171
897	1491	169
898	1492	167
899	1493	165
900	1494	164
901	1495	162
902	1497	160
903	1498	159
904	1500	157
905	1502	155
906	1503	154
907	1504	152
908	1505	150
909	1507	149
910	1509	147
911	1510	145
912	1512	144
913	1513	142
914	1515	140
915	1516	139
916	1517	137
917	1519	135
918	1520	134
919	1521	132
920	1522	130
921	1522	128
922	1523	127
923	1525	125
924	1527	123
925	1528	122
926	1528	120
927	1529	118
928	1530	117
929	1532	115
930	1533	113
931	1534	111
932	1535	110
933	1536	108
934	1537	106
935	1537	105
936	1539	103
937	1541	101
938	1542	100
939	1543	98
940	1544	96
941	1545	95
942	1546	93
943	1548	91
944	1549	90
945	1550	88
946	1551	86
947	1554	85
948	1555	83
949	1557	81
950	1559	80
951	1560	78
952	1561	77
953	1563	75
954	1564	73
955	1565	72
956	1566	70
957	1568	68
958	1570	67
959	1571	65
960	1572	63
961	1573	62
962	1574	60
963	1575	58
964	1576	57
965	1578	55
966	1579	53
967	1580	52
968	1581	50
969	1582	48
970	1584	47
971	1586	45
972	1588	44
973	1589	42
974	1591	40
975	1593	39
976	1594	37
977	1598	35
978	1600	34
979	1601	32
980	1602	31
981	1603	29
982	1604	27
983	1605	26
984	1607	24
985	1608	22
986	1611	21
987	1612	19
988	1614	17
989	1615	16
990	1616	14
991	1617	13
992	1618	11
993	1619	9
994	1620	8
995	1621	6
996	1622	4
997	1622	3
998	1624	1
999	1627	0
